,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s],SinglePulse [Pflop/s]
7,hpso22,10000.0,102.0,21600000.0,8.0,0.01411784159076337,0.0022299262291974957,0.0011879223123996722,0.020128678565977404,0.00714508998980472,0.010913959186080515,0.0,0.0,0.01753569013236054,0.03818772774186264,0.05572341787422318,0.01024764824691009,65536.0,,,
8,hpso27and33,10000.0,102.0,36000000.0,0.12333333333333334,0.014566529970864129,0.0036413465828640398,0.0016053943583610776,0.012015213305916414,0.010590931380398991,0.15708845760132603,0.0,0.0,0.019813270912089245,0.17969460228764145,0.19950787319973068,0.010573374755222908,65536.0,,,
9,hpso32,10000.0,102.0,36000000.0,2.2,0.014634699077094653,0.007629520813495083,0.003122897952589873,0.018443983154138987,0.0,0.026063233138044626,0.0,0.0,0.02538711784317961,0.04450721629218361,0.06989433413536322,0.010622862296982487,65536.0,,,
10,hpso37a,10000.0,102.0,36000000.0,3.8,0.014566529970864129,0.0036413465828640398,0.0016053943583610776,0.018332433575611602,0.01034922136989971,0.016159877595812687,0.0,0.0,0.019813270912089245,0.04484153254132399,0.06465480345341323,0.010573374755222908,65536.0,,,
11,hpso37b,10000.0,102.0,7200000.0,8.0,0.014566529970864129,0.0036413465828640398,0.0016053943583610776,0.0330861446984513,0.01034496460022251,0.013677975812850685,0.0,0.0,0.019813270912089245,0.0571090851115245,0.07692235602361375,0.010573374755222908,65536.0,,,
12,hpso37c,10000.0,102.0,7200000.0,8.0,0.014566529970864129,0.0036413465828640398,0.0016053943583610776,0.0330861446984513,0.01034496460022251,0.013677975812850685,0.0,0.0,0.019813270912089245,0.0571090851115245,0.07692235602361375,0.010573374755222908,65536.0,,,
13,hpso38a,10000.0,102.0,3600000.0,8.0,0.014282970708287731,0.0024149928076226297,0.0013376183678677764,0.013250706533183373,0.0081528860684749,0.011896128011912723,0.0,0.0,0.018035581883778136,0.033299720613571,0.05133530249734913,0.010367524163598433,65536.0,,,
14,hpso38b,10000.0,102.0,3600000.0,8.0,0.014282970708287731,0.0024149928076226297,0.0013376183678677764,0.021795313589322036,0.0081528860684749,0.011896128011912723,0.0,0.0,0.018035581883778136,0.041844327669709656,0.05987990955348779,0.010367524163598433,65536.0,,,
0,hpso04b,150000.0,197.0,2880000.0,0.16666666666666666,0.15092191902797708,0.38197271692639573,0.21029685568359724,0.0,0.0,0.0,0.0,0.0,0.74319149163797,0.0005008800000000369,0.7436923716379701,0.10955559497142855,16384.0,0.00050088,,
1,hpso04c,150000.0,197.0,8640000.0,0.16666666666666666,0.15092191902797708,0.30507975528354975,0.2120941261113418,0.0,0.0,0.0,0.0,0.0,0.6680958004228686,0.0005008800000000369,0.6685966804228687,0.10955559497142855,16384.0,0.00050088,,
2,hpso05b,150000.0,197.0,5760000.0,0.25,0.15092191902797708,0.4015045880459215,0.21166566881448107,0.0,0.0,0.0,0.0,0.0,0.7640921758883796,2.755000000354002e-07,0.7640924513883797,0.10955559497142855,16384.0,,2.755e-07,
3,hpso13,35000.0,197.0,18000000.0,8.0,0.05551496673964766,0.04429192629100353,0.021694002955363896,0.3989626593207251,0.14260711894888906,0.13433610824071623,0.48297000935779943,0.0,0.12150089598601507,1.1588758958681298,1.2803767918541449,0.04029562338339735,16384.0,,,
