,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s]
2,hpso02b,65000.0,128.0,18000000.0,5.0,0.07950817283185779,0.06640654948763179,0.027345518650900708,0.3407623111081685,0.17674907134768486,0.21662189971711399,0.4836068847653429,0.018686014373958646,0.1732602409703903,1.236426181312269,1.4096864222826593,0.05771362304,65536.0,,
3,hpso04a,65000.0,128.0,45900000.0,0.6666666666666666,0.039754086415928896,0.019296404763134274,0.008825828144499772,0.0,0.0,0.0,0.0,0.0,0.06787631932356294,0.0005008799999999952,0.06837719932356294,0.02885681152,65536.0,0.00050088,
4,hpso05a,65000.0,128.0,15480000.0,0.6666666666666666,0.039754086415928896,0.019296404763134274,0.008825828144499772,0.0,0.0,0.0,0.0,0.0,0.06787631932356294,2.7549999999376684e-07,0.06787659482356294,0.02885681152,65536.0,,2.755e-07
0,hpso01,65000.0,256.0,18000000.0,5.0,0.07922286128696887,0.16535444674136685,0.08590022467663046,1.5132644550593781,0.6246926756486769,0.6992366137262632,1.3136512133038036,0.0647860584448,0.33047753270496616,4.215631016182921,4.546108548887887,0.05748992682666666,16384.0,,
1,hpso02a,65000.0,256.0,18000000.0,5.0,0.07922286128696887,0.16535444674136685,0.08590022467663046,1.109065243326045,0.6246926756486769,0.6992366137262632,1.3136512133038036,0.0647860584448,0.33047753270496616,3.811431804449589,4.141909337154555,0.05748992682666666,16384.0,,
2,hpso02b,65000.0,256.0,18000000.0,5.0,0.07922286128696887,0.16535444674136685,0.08590022467663046,1.109065243326045,0.6246926756486769,0.6992366137262632,1.3136512133038036,0.0647860584448,0.33047753270496616,3.811431804449589,4.141909337154555,0.05748992682666666,16384.0,,
3,hpso04a,65000.0,256.0,45900000.0,0.6666666666666666,0.039611430643484435,0.06481600857783025,0.03048134943256353,0.0,0.0,0.0,0.0,0.0,0.13490878865387823,0.0005008800000000091,0.13540966865387824,0.02874496341333333,16384.0,0.00050088,
4,hpso05a,65000.0,256.0,15480000.0,0.6666666666666666,0.039611430643484435,0.06481600857783025,0.03048134943256353,0.0,0.0,0.0,0.0,0.0,0.13490878865387823,2.7550000000764463e-07,0.13490906415387824,0.02874496341333333,16384.0,,2.755e-07
0,hpso01,65000.0,256.0,18000000.0,5.0,0.1584152354907022,0.2213072250211314,0.09872076649684779,2.03061810532869,0.6246926756486769,0.6992366137262632,1.4673996907684788,0.07503832543873157,0.47844322700868136,4.8969854109108395,5.375428637919521,0.11497985365333332,32768.0,,
1,hpso02a,65000.0,256.0,18000000.0,5.0,0.1584152354907022,0.2213072250211314,0.09872076649684779,1.1690606438192603,0.6246926756486769,0.6992366137262632,1.4673996907684788,0.07503832543873157,0.47844322700868136,4.03542794940141,4.513871176410092,0.11497985365333332,32768.0,,
